,fdc_id,data_type,description,food_category_id,protein_value,fat_value,carbohydrate_value
120,167818,sr_legacy_food,"Pork, fresh, loin, whole, separable lean and fat, raw",,4.27,9.02,3.87
121,167819,sr_legacy_food,"Pork, fresh, loin, whole, separable lean and fat, cooked, braised",,4.27,9.02,3.87
122,167820,sr_legacy_food,"Pork, fresh, loin, whole, separable lean and fat, cooked, broiled",,4.27,9.02,3.87
123,167821,sr_legacy_food,"Pork, fresh, loin, whole, separable lean and fat, cooked, roasted",,4.27,9.02,3.87
124,167822,sr_legacy_food,"Pork, fresh, loin, blade (chops or roasts), bone-in, separable lean and fat, raw",,4.27,9.02,3.87
125,167823,sr_legacy_food,"Pork, fresh, loin, blade (chops), bone-in, separable lean and fat, cooked, braised",,4.27,9.02,3.87
126,167824,sr_legacy_food,"Pork, fresh, loin, blade (chops), bone-in, separable lean and fat, cooked, broiled",,4.27,9.02,3.87
127,167825,sr_legacy_food,"Pork, fresh, loin, blade (roasts), bone-in, separable lean and fat, cooked, roasted",,4.27,9.02,3.87
128,167826,sr_legacy_food,"Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, cooked, braised",,4.27,9.02,3.87
129,167827,sr_legacy_food,"Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, cooked, broiled",,4.27,9.02,3.87
130,167828,sr_legacy_food,"Pork, fresh, loin, center loin (roasts), bone-in, separable lean and fat, cooked, roasted",,4.27,9.02,3.87
131,167829,sr_legacy_food,"Pork, fresh, loin, center loin (chops), bone-in, separable lean only, raw",,4.27,9.02,3.87
132,167830,sr_legacy_food,"Pork, fresh, loin, center rib (chops), bone-in, separable lean and fat, cooked, braised",,4.27,9.02,3.87
133,167831,sr_legacy_food,"Pork, fresh, loin, center rib (chops), bone-in, separable lean and fat, cooked, broiled",,4.27,9.02,3.87
134,167832,sr_legacy_food,"Pork, fresh, loin, center rib (roasts), bone-in, separable lean and fat, cooked, roasted",,4.27,9.02,3.87
135,167833,sr_legacy_food,"Pork, fresh, loin, center rib (chops or roasts), bone-in, separable lean only, raw",,4.27,9.02,3.87
136,167834,sr_legacy_food,"Pork, fresh, loin, sirloin (chops), bone-in, separable lean and fat, cooked, braised",,4.27,9.02,3.87
137,167835,sr_legacy_food,"Pork, fresh, loin, sirloin (chops), bone-in, separable lean and fat, cooked, broiled",,4.27,9.02,3.87
138,167836,sr_legacy_food,"Pork, fresh, loin, sirloin (roasts), bone-in, separable lean and fat, cooked, roasted",,4.27,9.02,3.87
139,167837,sr_legacy_food,"Pork, fresh, loin, sirloin (chops or roasts), bone-in, separable lean only, raw",,4.27,9.02,3.87
140,167838,sr_legacy_food,"Pork, fresh, loin, sirloin (chops), bone-in, separable lean only, cooked, braised",,4.27,9.02,3.87
141,167839,sr_legacy_food,"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw",,4.27,9.02,3.87
142,167840,sr_legacy_food,"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, cooked, braised",,4.27,9.02,3.87
143,167841,sr_legacy_food,"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, cooked, broiled",,4.27,9.02,3.87
144,167842,sr_legacy_food,"Pork, fresh, loin, top loin (roasts), boneless, separable lean and fat, cooked, roasted",,4.27,9.02,3.87
145,167843,sr_legacy_food,"Pork, fresh, shoulder, whole, separable lean and fat, raw",,4.27,9.02,3.87
